Start,Step,NumericTime
1/01/2000,1,0
1/01/2015,2,5479
1/02/2018,3,6606
1/03/2018,4,6634
1/04/2018,5,6665
1/05/2018,6,6695
1/06/2018,7,6726
1/07/2018,8,6756
1/08/2018,9,6787
1/09/2018,10,6818
1/10/2018,11,6848
1/11/2018,12,6879
1/12/2018,13,6909
1/01/2019,14,6940
1/02/2019,15,6971
1/03/2019,16,6999
1/04/2019,17,7030
1/06/2019,18,7091
1/07/2019,19,7121
1/08/2019,20,7152
1/09/2019,21,7183
1/10/2019,22,7213
1/11/2019,23,7244
1/12/2019,24,7274
1/01/2020,25,7305
1/02/2020,26,7336
1/03/2020,27,7365
1/04/2020,28,7396
1/05/2020,29,7426
1/06/2020,30,7457
1/07/2020,31,7487
1/08/2020,32,7518
1/09/2020,33,7549
1/10/2020,34,7579
1/11/2020,35,7610
1/12/2020,36,7640
1/01/2021,37,7671
1/02/2021,38,7702
1/03/2021,39,7730
1/04/2021,40,7761
1/05/2021,41,7791
1/09/2021,42,7914
1/10/2021,43,7944
1/11/2021,44,7975
1/12/2021,45,8005
1/01/2022,46,8036
1/02/2022,47,8067
1/04/2022,48,8126
1/05/2022,49,8156
1/06/2022,50,8187
1/07/2022,51,8217
1/08/2022,52,8248
1/09/2022,53,8279
1/10/2022,54,8309
1/11/2022,55,8340
1/03/2023,56,8460
1/05/2023,57,8521
1/06/2023,58,8552
1/07/2023,59,8582
1/08/2023,60,8613
